"Incl. Tax","Incl. Tax"
"Your session has expired. Please refresh the page and try again.","Your session has expired. Please refresh the page and try again."
"Product is out of stock. Please try again later.","Product is out of stock. Please try again later."
"To check out, please sign in with your email address.","To check out, please sign in with your email address."
"We can't add this item to your shopping cart right now. Please try again later.","We can't add this item to your shopping cart right now. Please try again later."
"Can't create PayPal order. Please try again.","Can't create PayPal order. Please try again."
"We can't process the order right now. Please try again later.","We can't process the order right now. Please try again later."
"Can't update shipping method. Please try again.","Can't update shipping method. Please try again."
"Can't update quote. Please try again.","Can't update quote. Please try again."
"Not logged in","Not logged in"
"No token found.","No token found."
message,message
"Deletion failure. Please try again.","Deletion failure. Please try again."
"Stored Payment Method was successfully removed","Stored Payment Method was successfully removed"
"Your payment was not successful. Ensure you have entered your details correctly and try again, or try a different payment method. If you have continued problems, contact the issuing bank for your payment method.","Your payment was not successful. Ensure you have entered your details correctly and try again, or try a different payment method. If you have continued problems, contact the issuing bank for your payment method."
"Error happened when processing the request. Please try again later.","Error happened when processing the request. Please try again later."
Authorize,Authorize
"Authorize and Capture","Authorize and Capture"
blue,blue
gold,gold
silver,silver
white,white
black,black
vertical,vertical
horizontal,horizontal
rectangular,rectangular
pill,pill
Off,Off
"When Required","When Required"
Always,Always
"Configuration not found","Configuration not found"
"Order auto-canceled due to technical issues.","Order auto-canceled due to technical issues."
"Credit Card","Credit Card"
ending,ending
expires,expires
"Invalid methodCode","Invalid methodCode"
"Can't initialize checkout. Please try again.","Can't initialize checkout. Please try again."
"Payment Services can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","Payment Services can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process."
"Your payment was not successful. Try again.","Your payment was not successful. Try again."
"Credit Card Number","Credit Card Number"
"Secure transaction","Secure transaction"
"Expiration Date","Expiration Date"
"Card Security Code","Card Security Code"
"Your credit card will be charged for","Your credit card will be charged for"
"Shipping Method","Shipping Method"
"Please select a shipping method...","Please select a shipping method..."
"Sorry, no quotes are available for this order right now.","Sorry, no quotes are available for this order right now."
"Shipping Address","Shipping Address"
Edit,Edit
"Payment Method","Payment Method"
"Buy now with PayPal","Buy now with PayPal"
"Edit Payment Information","Edit Payment Information"
"Items in Your Shopping Cart","Items in Your Shopping Cart"
"Edit Shopping Cart","Edit Shopping Cart"
"Place Order","Place Order"
"Submitting order information...","Submitting order information..."
Item,Item
Price,Price
Qty,Qty
Subtotal,Subtotal
"Please update order data to get shipping methods and rates","Please update order data to get shipping methods and rates"
"Card Number","Card Number"
Type,Type
Actions,Actions
Delete,Delete
"Save for later use.","Save for later use."
"What is this?","What is this?"
"Securely store your credit card information for future use.","Securely store your credit card information for future use."
"An error occurred. Refresh the page and try again.","An error occurred. Refresh the page and try again."
"This payment option is currently unavailable.","This payment option is currently unavailable."
"Failed to place order. Try again or refresh the page if that does not resolve the issue.","Failed to place order. Try again or refresh the page if that does not resolve the issue."
"Postal code is required.","Postal code is required."
"City is required.","City is required."
"Pay with Apple Pay","Pay with Apple Pay"
"Please enter a valid credit card number.","Please enter a valid credit card number."
"Incorrect credit card expiration date.","Incorrect credit card expiration date."
"Please enter a valid credit card security code.","Please enter a valid credit card security code."
"This is a required field.","This is a required field."
"Pay with credit card","Pay with credit card"
"The card security code is a three or four digit number printed on a credit card. Visa, Mastercard, and Discover cards have a three digit code on the card back. American Express cards have a four digit code on the card front.","The card security code is a three or four digit number printed on a credit card. Visa, Mastercard, and Discover cards have a three digit code on the card back. American Express cards have a four digit code on the card front."
"Pay with PayPal","Pay with PayPal"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"Stored Cards","Stored Cards"
"Pay with Payment Services","Pay with Payment Services"
"Soft Descriptor","Soft Descriptor"
"Credit Card Fields","Credit Card Fields"
Title,Title
"Payment Action","Payment Action"
"Show on checkout page","Show on checkout page"
"Sort Order","Sort Order"
"Vault Enabled","Vault Enabled"
"Vault Enabled in Admin","Vault Enabled in Admin"
"3D Secure authentication","3D Secure authentication"
"Use <b>When Required</b> to comply with EU regulations. Use <b>Always</b> for extra fraud protection. <a href=""https://experienceleague.adobe.com/docs/commerce-merchant-services/payment-services/security.html#3ds"" target=""_blank"">More information</a>","Use <b>When Required</b> to comply with EU regulations. Use <b>Always</b> for extra fraud protection. <a href=""https://experienceleague.adobe.com/docs/commerce-merchant-services/payment-services/security.html#3ds"" target=""_blank"">More information</a>"
"Debug Mode","Debug Mode"
"Apple Pay","Apple Pay"
"Show Apple Pay on checkout page","Show Apple Pay on checkout page"
"Show Apple Pay in mini cart preview","Show Apple Pay in mini cart preview"
"Show Apple Pay on cart page","Show Apple Pay on cart page"
"PayPal Smart Buttons","PayPal Smart Buttons"
"Venmo Enabled","Venmo Enabled"
"Credit and Debit Card Enabled","Credit and Debit Card Enabled"
"PayPal Pay Later Enabled","PayPal Pay Later Enabled"
"Display Pay Later Message","Display Pay Later Message"
"Displays Pay Later messaging for available offers. Restrictions apply. <a href=""https://developer.paypal.com/docs/business/pay-later/us/"" target=""_blank"">Learn more</a>","Displays Pay Later messaging for available offers. Restrictions apply. <a href=""https://developer.paypal.com/docs/business/pay-later/us/"" target=""_blank"">Learn more</a>"
"Buttons Group","Buttons Group"
