"3D Secure authentication","Authentification sécurisée 3D"
"A voided authorization cannot be captured or reauthorized.","Une autorisation annulée ne peut pas être capturée ou réautorisée."
"Actions","Actions"
"Always","Toujours"
"An error occurred. Refresh the page and try again.","Une erreur est survenue. Actualisez la page et réessayez."
"An expired authorization cannot be captured.","Impossible de capturer une autorisation expirée."
"Apple Pay","Apple Pay"
"Authorization has already been captured.","L’autorisation a déjà été capturée."
"Authorize","Autoriser"
"Authorize and Capture","Autoriser et capturer"
"Button Style","Style de bouton"
"Buttons Group","Groupe de boutons"
"Buy now with PayPal","Acheter maintenant avec PayPal"
"Can't create PayPal order. Please try again.","Impossible de créer une commande PayPal. Veuillez réessayer."
"Can't initialize checkout. Please try again.","Impossible d'initialiser l'extraction. Veuillez réessayer."
"Can't update quote. Please try again.","Impossible de mettre à jour le devis. Veuillez réessayer."
"Can't update shipping method. Please try again.","Impossible de mettre à jour le mode d'expédition. Veuillez réessayer."
"Capture amount exceeds allowable limit.","Le montant de capture dépasse la limite autorisée."
"Card Number","Numéro de carte"
"Card Security Code","Code de sécurité de carte"
"City is required.","La ville est requise."
"Color","Couleur"
"Configuration not found","Configuration introuvable."
"Credit Card","Carte de crédit"
"Credit Card Fields","Champs de carte de crédit"
"Credit Card Number","Numéro de carte de crédit"
"Credit and Debit Card Enabled","Carte de crédit et de débit activée"
"Currency code should be a three-character currency code.","Le code de devise doit être un code de devise à trois caractères."
"Currency does not support decimals.","La devise ne prend pas en charge les décimales."
"Currency of capture must be the same as currency of authorization.","La devise de capture doit être la même que la devise d'autorisation."
"Debug Mode","Mode de débogage"
"Delete","Supprimer"
"Deletion failure. Please try again.","Échec de suppression. Veuillez réessayer."
"Display Pay Later Message","Afficher le message de paiement différé"
"Display Pay Later Message on cart page","Afficher le message de paiement différé sur la page du panier"
"Display Pay Later Message on checkout page","Afficher le message Payer plus tard sur la page de paiement"
"Display Pay Later Message on minicart page","Afficher le message de paiement différé sur la page minicart"
"Display Pay Later Message on product detail page","Afficher le message de paiement différé sur la page des détails du produit"
"Displays Pay Later messaging for available offers. Restrictions apply. <a href=""https://developer.paypal.com/docs/business/pay-later/us/"" target=""_blank"">Learn more</a>","Affiche un message de paiement différé pour les offres disponibles. Des restrictions s'appliquent. <a href=""https://developer.paypal.com/docs/business/pay-later/us/"" target=""_blank"">En savoir plus</a>"
"Edit","Modifier"
"Edit Payment Information","Modifier les informations de paiement"
"Edit Shopping Cart","Modifier le panier"
"Error happened when processing the request. Please try again later.","Erreur lors du traitement de la demande. Veuillez réessayer plus tard."
"Expiration Date","Date d'expiration"
"Failed to place order. Try again or refresh the page if that does not resolve the issue.","Echec du passage de commande. Réessayez ou actualisez la page si le problème persiste."
"Height","Hauteur"
"Incl. Tax","Incl. Taxe"
"Incorrect credit card expiration date.","Date d'expiration de carte de crédit incorrecte."
"Invalid methodCode","MethodCode non valide"
"Item","Élément"
"Items in Your Shopping Cart","Articles dans votre panier"
"Label","Libellé"
"Layout","Disposition"
"Maximum number of allowable captures has been reached. No additional captures are possible for this authorization. Please contact customer service or your account manager to change the number of captures that be made for a given authorization.","Le nombre maximum de captures autorisées a été atteint. Aucune capture supplémentaire n'est possible pour cette autorisation. Contactez le service à la clientèle ou votre gestionnaire de compte pour modifier le nombre de captures à effectuer pour une autorisation donnée."
"Must be greater than zero. If the currency supports decimals, only two decimal place precision is supported.","Doit être supérieur à zéro. Si la devise prend en charge les décimales, seule la précision à deux décimales est prise en charge."
"No token found.","Aucun jeton trouvé."
"Not logged in","Non connecté"
"Off","Désactivé"
"Order auto-canceled due to technical issues.","Commande automatiquement annulée en raison de problèmes techniques."
"Pay with Apple Pay","Payer avec Apple Pay"
"Pay with PayPal","Payer avec PayPal"
"Pay with Payment Services","Payer avec les services de paiement"
"Pay with credit card","Payer par carte de crédit"
"PayLater","PayLater"
"PayPal","PayPal"
"PayPal Credit","Crédit PayPal"
"PayPal Pay Later Enabled","PayPal Pay Later activé"
"PayPal Pay Later Message","PayPal - Message de paiement différé"
"PayPal Smart Buttons","Boutons intelligents PayPal"
"PayPal's internal controls prevent authorization from being captured.","Les contrôles internes de PayPal empêchent la capture de l'autorisation."
"Payer cannot pay for this transaction.","Le payeur ne peut pas payer pour cette transaction."
"Payment Action","Action de paiement"
"Payment Method","Mode de paiement"
"Payment Services can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","Les services de paiement ne peuvent pas traiter les commandes dont le solde est nul. Pour finaliser votre achat, veuillez passer par le processus de passage en caisse standard."
"Place Order","Placer une commande"
"Please enter a valid credit card number.","Veuillez entrer un numéro de carte de crédit valide."
"Please enter a valid credit card security code.","Entrez un code de sécurité de carte de crédit valide."
